,reviewID,satisfied,category
0,0,0,phones
1,1,0,gaming
2,2,0,laptops
3,3,0,phones
4,4,1,laptops
5,5,0,laptops
6,6,1,laptops
7,7,0,laptops
8,8,1,gaming
9,9,0,phones
10,10,0,laptops
11,11,0,phones
12,12,1,phones
13,13,0,phones
14,14,1,gaming
15,15,0,phones
16,16,0,gaming
17,17,1,laptops
18,18,0,gaming
19,19,0,laptops
20,20,1,gaming
21,21,0,laptops
22,22,1,phones
23,23,0,laptops
24,24,0,phones
25,25,1,phones
26,26,0,gaming
27,27,1,gaming
28,28,1,laptops
29,29,1,gaming
30,30,1,gaming
31,31,0,phones
32,32,0,phones
33,33,0,laptops
34,34,0,laptops
35,35,1,laptops
36,36,1,gaming
37,37,0,phones
38,38,0,phones
39,39,1,laptops
40,40,0,gaming
41,41,0,laptops
42,42,1,gaming
43,43,1,phones
44,44,0,gaming
45,45,0,phones
46,46,0,laptops
47,47,0,phones
48,48,1,gaming
49,49,0,phones
50,50,0,gaming
51,51,1,gaming
52,52,0,gaming
53,53,1,gaming
54,54,0,laptops
55,55,1,gaming
56,56,0,laptops
57,57,0,laptops
58,58,1,laptops
59,59,0,phones
60,60,1,phones
61,61,1,gaming
62,62,1,phones
63,63,1,laptops
64,64,1,gaming
65,65,0,laptops
66,66,1,gaming
67,67,0,phones
68,68,1,gaming
69,69,0,gaming
70,70,1,laptops
71,71,0,gaming
72,72,0,laptops
73,73,1,phones
74,74,1,phones
75,75,1,laptops
76,76,0,gaming
77,77,1,gaming
78,78,1,phones
79,79,0,gaming
80,80,1,gaming
81,81,1,phones
82,82,0,laptops
83,83,1,laptops
84,84,0,gaming
85,85,1,phones
86,86,0,phones
87,87,1,laptops
88,88,0,phones
89,89,1,phones
90,90,0,gaming
91,91,1,laptops
92,92,0,gaming
93,93,1,laptops
94,94,1,laptops
95,95,1,phones
96,96,0,laptops
97,97,0,phones
98,98,0,laptops
99,99,1,laptops
100,100,1,phones
101,101,1,phones
102,102,1,phones
103,103,1,phones
104,104,1,gaming
105,105,0,gaming
106,106,1,phones
107,107,1,phones
108,108,0,gaming
109,109,0,gaming
110,110,0,gaming
111,111,0,phones
112,112,0,gaming
113,113,0,laptops
114,114,1,gaming
115,115,1,laptops
116,116,1,gaming
117,117,1,phones
118,118,0,laptops
119,119,1,gaming
120,120,0,gaming
121,121,1,phones
122,122,0,laptops
123,123,0,laptops
124,124,1,laptops
125,125,0,gaming
126,126,1,laptops
127,127,1,phones
128,128,1,gaming
129,129,1,phones
130,130,0,phones
131,131,0,laptops
132,132,0,phones
133,133,0,phones
134,134,0,gaming
135,135,0,gaming
136,136,1,phones
137,137,1,laptops
138,138,1,laptops
139,139,1,gaming
140,140,1,phones
141,141,0,laptops
142,142,0,phones
143,143,0,gaming
144,144,0,phones
145,145,1,laptops
146,146,1,laptops
147,147,0,gaming
148,148,1,laptops
149,149,0,laptops
150,150,0,gaming
151,151,1,phones
152,152,1,phones
153,153,0,laptops
154,154,1,gaming
155,155,1,laptops
156,156,0,gaming
157,157,1,laptops
158,158,1,phones
159,159,0,gaming
160,160,0,phones
161,161,0,gaming
162,162,0,gaming
163,163,0,laptops
164,164,0,phones
165,165,1,gaming
166,166,1,gaming
167,167,1,laptops
168,168,1,laptops
169,169,0,laptops
170,170,1,phones
171,171,1,phones
172,172,0,phones
173,173,1,gaming
174,174,1,phones
175,175,1,phones
176,176,1,gaming
177,177,1,phones
178,178,0,gaming
179,179,1,laptops
180,180,1,gaming
181,181,1,phones
182,182,0,phones
183,183,0,laptops
184,184,0,gaming
185,185,1,gaming
186,186,1,phones
187,187,1,phones
188,188,1,phones
189,189,1,laptops
190,190,0,gaming
191,191,0,gaming
192,192,0,phones
193,193,0,laptops
194,194,0,gaming
195,195,1,gaming
196,196,0,laptops
197,197,0,laptops
198,198,0,phones
199,199,1,phones
200,200,0,phones
201,201,1,laptops
202,202,0,phones
203,203,0,phones
204,204,0,laptops
205,205,0,laptops
206,206,1,laptops
207,207,1,gaming
208,208,1,phones
209,209,1,gaming
210,210,0,phones
211,211,1,phones
212,212,0,phones
213,213,0,laptops
214,214,0,phones
215,215,0,phones
216,216,0,phones
217,217,0,phones
218,218,0,laptops
219,219,0,gaming
220,220,0,gaming
221,221,0,phones
222,222,1,gaming
223,223,1,gaming
224,224,0,gaming
225,225,0,phones
226,226,0,laptops
227,227,0,laptops
228,228,1,laptops
229,229,0,phones
230,230,1,gaming
231,231,0,phones
232,232,1,laptops
233,233,1,gaming
234,234,0,laptops
235,235,0,gaming
236,236,1,phones
237,237,1,phones
238,238,1,phones
239,239,0,gaming
240,240,1,gaming
241,241,0,phones
242,242,1,gaming
243,243,1,phones
244,244,1,laptops
245,245,0,phones
246,246,1,gaming
247,247,0,gaming
248,248,1,gaming
249,249,1,gaming
250,250,0,phones
251,251,1,laptops
252,252,0,phones
253,253,1,phones
254,254,1,phones
255,255,1,gaming
256,256,1,laptops
257,257,1,gaming
258,258,1,gaming
259,259,1,phones
260,260,0,phones
261,261,1,phones
262,262,1,phones
263,263,0,gaming
264,264,0,laptops
265,265,1,phones
266,266,0,gaming
267,267,1,phones
268,268,0,phones
269,269,0,laptops
270,270,0,phones
271,271,0,gaming
272,272,0,gaming
273,273,1,laptops
274,274,0,gaming
275,275,1,gaming
276,276,1,phones
277,277,1,laptops
278,278,1,laptops
279,279,1,laptops
280,280,1,laptops
281,281,1,phones
282,282,1,phones
283,283,1,gaming
284,284,1,laptops
285,285,1,phones
286,286,1,gaming
287,287,0,laptops
288,288,1,gaming
289,289,1,gaming
290,290,1,laptops
291,291,0,laptops
292,292,0,phones
293,293,0,laptops
294,294,1,laptops
295,295,1,gaming
296,296,0,phones
297,297,0,phones
298,298,0,gaming
299,299,1,laptops
300,300,1,phones
301,301,0,phones
302,302,1,laptops
303,303,1,laptops
304,304,0,laptops
305,305,1,laptops
306,306,1,phones
307,307,1,phones
308,308,1,laptops
309,309,1,laptops
310,310,1,laptops
311,311,0,phones
312,312,1,gaming
313,313,0,laptops
314,314,0,phones
315,315,0,gaming
316,316,1,phones
317,317,0,gaming
318,318,0,phones
319,319,1,laptops
320,320,0,phones
321,321,0,laptops
322,322,0,gaming
323,323,0,gaming
324,324,0,laptops
325,325,0,gaming
326,326,0,laptops
327,327,0,phones
328,328,1,gaming
